Art,cap,ven,std,
27.951,NaN,55.289,0.74627,NaN,2.0394
24.846,NaN,37.774,0.47543,NaN,1.3591
20.207,NaN,30.25,0.3775,NaN,0.74897
17.929,8.4751,25.94,0.28448,0.92779,0.90228
15.745,8.9498,24.018,0.23179,0.50812,0.8224
14.452,8.9555,23.969,0.16537,0.34974,0.89875
13.245,8.6418,23.372,0.1707,0.25989,1.0445
12.632,8.8073,22.788,0.13646,0.16868,0.78681
12.059,8.7317,21.051,0.13376,0.11012,1.0222
11.572,8.8043,21.224,0.11222,0.080561,0.87895
11.388,8.6307,20.031,0.13875,0.099748,0.60162
11.296,8.6253,20.151,0.15864,0.11067,0.65856
11.041,8.8269,20.491,0.19432,0.1494,0.89159
10.815,8.7669,20.526,0.18367,0.1392,0.63102
10.67,8.663,20.255,0.20868,0.18349,0.64586
10.256,8.9705,19.754,0.31312,0.18851,0.55779
10.274,8.721,21.103,0.33702,0.35027,0.91488
10.725,8.7669,20.876,0.26386,0.44623,0.80757
8.6416,8.6751,20.654,0.51254,0.39684,0.92728
7.4407,10.063,19.496,0,0.62848,0.64116
NaN,5.5858,19.651,NaN,0,0.5961
NaN,NaN,18.92,NaN,NaN,0.58812
NaN,NaN,19.05,NaN,NaN,0.57033
NaN,NaN,18.116,NaN,NaN,0.36889
NaN,NaN,18.927,NaN,NaN,0.60048
NaN,NaN,18.44,NaN,NaN,0.41324
NaN,NaN,18.99,NaN,NaN,0.45294
NaN,NaN,18.763,NaN,NaN,0.60389
NaN,NaN,18.902,NaN,NaN,0.57046
NaN,NaN,18.499,NaN,NaN,0.46655
NaN,NaN,19.128,NaN,NaN,0.57601
NaN,NaN,18.535,NaN,NaN,0.56137
NaN,NaN,18.484,NaN,NaN,0.65517
NaN,NaN,18.228,NaN,NaN,0.50077
NaN,NaN,18.033,NaN,NaN,0.70049
NaN,NaN,18.077,NaN,NaN,0.56689
NaN,NaN,17.168,NaN,NaN,0.45363
NaN,NaN,16.883,NaN,NaN,0.55828
NaN,NaN,18.067,NaN,NaN,0.53037
NaN,NaN,17.952,NaN,NaN,0.77295
NaN,NaN,17.927,NaN,NaN,0.63349
NaN,NaN,16.055,NaN,NaN,0.61245
NaN,NaN,15.371,NaN,NaN,0.76623
NaN,NaN,17.918,NaN,NaN,0.97419
NaN,NaN,16.705,NaN,NaN,0.77732
NaN,NaN,16.178,NaN,NaN,0.86364
NaN,NaN,15.862,NaN,NaN,0.63028
NaN,NaN,17.352,NaN,NaN,0.82229
0,0,15.069,NaN,NaN,2.2144
0,0,14.24,NaN,NaN,2.3009
0,0,13.306,NaN,NaN,3.4171
0,0,12.185,NaN,NaN,3.111
0,0,11.215,NaN,NaN,3.5113
0,0,10.558,NaN,NaN,4.0937
0,0,7.0503,NaN,NaN,4.232
0,0,4.8942,NaN,NaN,4.6106
0,0,5.0007,NaN,NaN,4.6563
0,0,2.3611,NaN,NaN,3.7391
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
