Art,ven,std,
0,0,NaN,NaN
0,0,NaN,NaN
0.04,0.56,0.2,0.1354
0.2,1.08,0.18257,0.12185
0.68,1.28,0.29797,0.31716
2.52,1.56,0.3595,0.27516
5.08,2.44,0.49639,0.32318
11.52,3.12,0.66863,0.54307
19.6,3.88,1.562,0.73423
25.4,4.16,1.852,0.47145
27.68,4.8,1.0704,0.67028
25.72,5.92,1.346,0.77487
23.64,5.36,1.6752,0.61882
15.64,6.24,1.2661,0.90605
11.56,6.92,1.1931,0.99986
5.36,6.44,0.86368,1.0443
3.48,6.72,1.0209,0.98268
1.16,6.52,0.56036,0.91112
0.24,6.32,0.62183,0.74703
0.16,6.8,0.8,0.81445
0.32,6.64,1.6,0.79347
0,6.08,NaN,0.92218
0,6.04,NaN,0.82357
0,6.2,NaN,0.64291
0,5.64,NaN,0.81198
0,5.68,NaN,0.5678
0,4.64,NaN,0.62605
0,5.12,NaN,0.63825
0,4.24,NaN,0.7004
0,3.64,NaN,0.58322
0,5.04,NaN,0.94884
0,3.68,NaN,0.67901
0,4.96,NaN,0.88652
0,4.32,NaN,0.9727
0,3.16,NaN,0.77184
0,3.56,NaN,0.81672
0,2.24,NaN,0.63031
0,2.84,NaN,0.78289
0,2.08,NaN,0.75954
0,1.64,NaN,0.45575
0,1.64,NaN,0.70652
0,1.36,NaN,0.52626
0,1.16,NaN,0.43044
0,0.8,NaN,0.43033
0,0.92,NaN,0.57663
0,0.52,NaN,0.34034
0,0.4,NaN,0.42817
0,0.44,NaN,0.40961
0,0.96,NaN,0.91652
0,0.84,NaN,0.90074
0,0.8,NaN,0.63465
0,0.4,NaN,0.52042
0,0.48,NaN,0.48511
0,0.52,NaN,0.92976
0,0.12,NaN,0.6
0,0.12,NaN,0.6
0,0.12,NaN,0.6
0,0.08,NaN,0.4
0,0.16,NaN,0.8
0,0.24,NaN,1.2
0,0.12,NaN,0.6
0,0.04,NaN,0.2
0,0,NaN,NaN
0,0.12,NaN,0.6
0,0.08,NaN,0.4
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
