Art,ven,std,
0,0,NaN,NaN
0,0,NaN,NaN
0.06,0.06,0.13851,0.13851
0.56,0.44,0.13777,0.14028
1.1,1.04,0.19949,0.17653
2.3,1.4,0.19806,0.17649
4.64,2.62,0.36277,0.24997
6.2,4.48,0.45998,0.49508
9.82,6.58,0.64774,0.43714
10.94,8.22,0.55653,0.5041
14.5,10.02,0.89591,0.59624
14.9,12.48,0.74738,0.74737
17.14,14.04,0.80052,0.80608
16.1,15.66,0.94815,0.79417
16.62,15.26,0.84074,0.73613
14.88,14.96,0.70488,0.69574
12.08,14.78,0.67239,0.88123
9.96,12.78,0.78933,0.74137
7.42,10.58,0.57576,0.73462
6.16,8.68,0.65562,0.5681
4.74,7.9,0.71171,0.6583
3.64,5.2,0.63434,0.50872
2,4.14,0.62466,0.47185
1.3,3.44,0.48666,0.59429
0.88,1.78,0.42735,0.46121
0.58,1.28,0.48693,0.42388
0.52,1.06,0.66674,0.64962
0.4,0.42,0.62814,0.46888
0.18,0.34,0.29541,0.36309
0.12,0.18,0.30057,0.31445
0.16,0.12,0.44201,0.44355
0.06,0.04,0.42426,0.28284
0.04,0.02,0.28284,0.14142
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
