Art,cap,ven,std,
389.02,NaN,276.71,58,NaN,30.921
340.96,NaN,329.56,39.166,NaN,47.908
326.25,488.21,355.55,21.358,0,25.724
323.41,306.57,347,18.669,103.72,30.218
353.93,361.4,366.65,16.169,57.088,39.149
346.64,383.85,324.15,11.649,36.957,24.515
326.37,375.36,398.93,10.448,28.333,16.733
340.29,401.33,380.2,9.0667,21.82,30.259
340.35,395.61,341.98,7.8868,15.915,21.019
353.92,398.49,360.62,6.6879,11.299,16.613
341.51,408.54,334.83,10.358,8.7116,15.475
350.65,383.77,324.52,11.276,9.6973,19.397
336.32,382.07,358.34,14.821,12.099,17.756
334.35,373.54,375.65,15.56,13.284,17.798
328.17,389,346.88,24.782,14.739,19.463
359.65,404.83,339.94,29.016,23.655,16.998
389.02,398.37,348.87,44.005,33.924,16.606
228.1,300.78,353.3,20.87,41.327,18.317
303.91,385.46,350.54,0,0.72,20.715
333.97,237.45,360.79,0,0,17.618
NaN,350.46,350.39,NaN,0,19.523
NaN,NaN,340.88,NaN,NaN,15.131
NaN,NaN,346.33,NaN,NaN,18.514
NaN,NaN,334.91,NaN,NaN,14.174
NaN,NaN,369.42,NaN,NaN,20.353
NaN,NaN,326.65,NaN,NaN,21.496
NaN,NaN,354.65,NaN,NaN,18.725
NaN,NaN,327.91,NaN,NaN,14.403
NaN,NaN,319.75,NaN,NaN,19.586
NaN,NaN,379.77,NaN,NaN,35.401
NaN,NaN,337.69,NaN,NaN,21.063
NaN,NaN,373.48,NaN,NaN,24.048
NaN,NaN,351.38,NaN,NaN,20.925
NaN,NaN,332.48,NaN,NaN,19.824
NaN,NaN,371.72,NaN,NaN,36.245
NaN,NaN,335.75,NaN,NaN,35.218
NaN,NaN,294.04,NaN,NaN,18.852
NaN,NaN,391.06,NaN,NaN,55.089
NaN,NaN,395.68,NaN,NaN,36.32
NaN,NaN,391.81,NaN,NaN,33.999
NaN,NaN,321.54,NaN,NaN,17.762
NaN,NaN,304.2,NaN,NaN,39
NaN,NaN,298.48,NaN,NaN,29.024
NaN,NaN,327.44,NaN,NaN,39.031
NaN,NaN,324.33,NaN,NaN,31.533
NaN,NaN,293.41,NaN,NaN,49.022
0,0,225.39,NaN,NaN,45.875
0,0,217.02,NaN,NaN,66.578
0,0,214.3,NaN,NaN,101.01
0,0,170.08,NaN,NaN,70.005
0,0,100.05,NaN,NaN,51.518
0,0,137.67,NaN,NaN,72.646
0,0,78.848,NaN,NaN,68.528
0,0,41.38,NaN,NaN,117.04
0,0,31.809,NaN,NaN,95.427
0,0,22.435,NaN,NaN,74.41
0,0,30.425,NaN,NaN,100.91
0,0,17.129,NaN,NaN,61.76
0,0,15.873,NaN,NaN,57.231
0,0,16.057,NaN,NaN,60.08
0,0,17.874,NaN,NaN,73.697
0,0,11.912,NaN,NaN,51.921
0,0,16.444,NaN,NaN,71.679
0,0,19.024,NaN,NaN,82.925
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
