Art,cap,ven,std,
375.35,NaN,342.99,35.397,NaN,45.946
350.86,NaN,393.09,26.106,NaN,62.097
290.71,563.34,350.8,21.505,255.69,33.161
298.2,416.63,293.28,13.066,82.049,27.506
280.53,395.08,301.66,13.186,53.426,26.052
296.29,421.26,316.77,10.749,33.738,30.093
287.39,409.67,288.51,8.607,29.322,24.944
273.8,402.42,305.33,11.138,18.864,22.442
285.96,393.63,317.3,6.8705,20.797,35.94
268.13,365.58,317.57,6.4471,18.104,25.375
284.81,365.41,280.59,6.6549,15.52,15.169
280.78,391.67,287.47,6.7264,16.64,14.019
282.16,383.04,336.05,8.9208,15.705,24.447
299.01,367.6,291.79,7.4161,14.603,15.3
287.57,368.84,327.4,9.0292,13.676,18.34
291.39,379.86,306.13,6.0935,12.108,13.163
314.65,357.68,331.1,15.922,12.861,17.241
284.61,377.82,312.47,12.712,9.9505,15.888
300.28,387.88,302.39,13.827,15.747,13.151
285.88,367.09,315.63,14.981,19.819,21.838
310.48,382.16,324.49,14.868,16.836,16.999
314.62,338.84,378.11,23.977,25.868,69.609
315.84,302.65,316.21,30.666,40.729,27.007
243.07,483.48,369.69,29.322,58.976,27.556
276.31,362.1,377.07,37.4,52.606,56.43
374.75,420.35,425.73,89.938,55.018,61.434
240.53,285.23,321.42,48.995,33.011,39.347
114.71,318.86,449.48,0,68.67,91.075
NaN,167.15,459.55,NaN,0,134.07
NaN,NaN,596.94,NaN,NaN,178.24
NaN,NaN,626.07,NaN,NaN,346.68
NaN,NaN,329.72,NaN,NaN,37.721
NaN,NaN,370.37,NaN,NaN,13.31
NaN,NaN,294.46,NaN,NaN,44.849
NaN,NaN,346.29,NaN,NaN,20.391
NaN,NaN,465.01,NaN,NaN,168.47
NaN,NaN,737,NaN,NaN,139.12
NaN,NaN,394.06,NaN,NaN,89.61
NaN,NaN,300.31,NaN,NaN,0
NaN,NaN,341.04,NaN,NaN,0
0,0,56.785,NaN,NaN,80.306
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN
