EGL_Thickness,remp,ste
1e-08,1.0024,3.2745e-05
6e-08,1.0147,0.00019964
1.1e-07,1.0273,0.00037214
1.6e-07,1.0401,0.00055074
2.1e-07,1.0533,0.00073591
2.6e-07,1.0669,0.00092815
3.1e-07,1.0809,0.001128
3.6e-07,1.0953,0.0013359
4.1e-07,1.1101,0.0015524
4.6e-07,1.1254,0.0017781
5.1e-07,1.1413,0.0020134
5.6e-07,1.1577,0.0022588
6.1e-07,1.1746,0.0025149
6.6e-07,1.1922,0.0027821
7.1e-07,1.2103,0.003061
7.6e-07,1.2291,0.0033522
8.1e-07,1.2486,0.0036561
8.6e-07,1.2687,0.0039733
9.1e-07,1.2896,0.0043043
9.6e-07,1.3112,0.0046499
1.01e-06,1.3336,0.0050105
