Art,cap,ven,std,
44.798,NaN,4.9543e-05,0.36155,NaN,1.7489e-06
38.347,NaN,3.6801e-05,0.75386,NaN,5.3534e-06
32.572,8.7007e-06,3.4422e-05,0.65605,0,7.1439e-06
26.455,7.9789e-06,2.9202e-05,0.64558,8.2456e-07,4.9735e-06
22.476,1.0181e-05,2.7182e-05,0.41167,1.8457e-06,4.9863e-06
19.526,9.6366e-06,2.783e-05,0.31924,1.7938e-06,6.2162e-06
16.846,1.0625e-05,2.6734e-05,0.20526,1.1748e-06,5.4228e-06
15.668,1.014e-05,2.4548e-05,0.19827,7.1215e-07,3.4256e-06
14.823,1.0435e-05,2.4522e-05,0.18497,6.1076e-07,4.4717e-06
14.387,1.0377e-05,2.3432e-05,0.15601,5.5158e-07,3.3275e-06
13.915,1.0373e-05,2.4361e-05,0.14302,6.0571e-07,4.421e-06
13.518,1.0204e-05,2.3727e-05,0.158,6.2253e-07,3.1999e-06
13.127,1.0204e-05,2.3843e-05,0.14957,5.9253e-07,4.5583e-06
12.631,1.0321e-05,2.2651e-05,0.22904,7.6231e-07,2.6802e-06
12.46,9.9984e-06,2.3282e-05,0.31099,1.0355e-06,3.4741e-06
11.72,9.9325e-06,2.2752e-05,0.44833,1.7302e-06,3.535e-06
12.255,1.0058e-05,2.3525e-05,0.45527,1.0997e-06,4.993e-06
12,9.9877e-06,2.4014e-05,0.78742,1.8876e-06,4.6073e-06
13.351,8.831e-06,2.3615e-05,0.5135,1.4292e-06,3.5845e-06
13.121,1.0096e-05,2.2784e-05,1.4015,9.4512e-07,2.9068e-06
13.856,9.8525e-06,2.1197e-05,0,3.2661e-06,2.9132e-06
12.16,1.1175e-05,2.1456e-05,0,0,3.1143e-06
12.92,1.1641e-05,2.1037e-05,0,0,3.263e-06
12.652,9.9134e-06,2.1308e-05,0,0,2.6162e-06
NaN,9.9844e-06,2.1079e-05,NaN,0,2.3338e-06
NaN,NaN,2.1384e-05,NaN,NaN,3.1874e-06
NaN,NaN,2.1556e-05,NaN,NaN,2.7894e-06
NaN,NaN,2.103e-05,NaN,NaN,2.9497e-06
NaN,NaN,2.175e-05,NaN,NaN,4.7363e-06
NaN,NaN,2.1137e-05,NaN,NaN,3.3399e-06
NaN,NaN,2.0309e-05,NaN,NaN,3.2271e-06
NaN,NaN,1.9263e-05,NaN,NaN,3.7739e-06
NaN,NaN,2.0564e-05,NaN,NaN,3.907e-06
NaN,NaN,1.982e-05,NaN,NaN,4.6263e-06
NaN,NaN,1.8539e-05,NaN,NaN,3.1482e-06
NaN,NaN,1.9137e-05,NaN,NaN,3.388e-06
NaN,NaN,2.0727e-05,NaN,NaN,4.3501e-06
NaN,NaN,2.0383e-05,NaN,NaN,5.4414e-06
NaN,NaN,2.0062e-05,NaN,NaN,4.5322e-06
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
