Art,ven,std,
0,0,NaN,NaN
0,0,NaN,NaN
0.04,0.52,0.2,0.14142
0.08,0.92,0.19579,0.19704
0.88,1.6,0.28102,0.19462
1.96,2.48,0.35344,0.50404
5.32,2.04,0.62762,0.37522
12.72,2.56,0.9247,0.3938
20.92,3.12,1.4559,0.35512
27.76,3,1.9359,0.46057
25.76,3.8,1.6726,0.52374
25.08,3.48,1.1618,0.44857
21.64,4.04,1.4887,0.55522
14.36,4.6,1.2766,0.75126
10.36,5.16,1.1356,0.57931
5.8,4.4,0.95545,0.5863
3.08,5.72,1.2123,0.66802
1.64,5.52,1.065,0.77113
0.88,5.12,0.66655,0.81053
0.76,5.48,1.8628,0.79655
0.24,5.56,0.62183,0.71199
0.08,6.88,0.4,0.8353
0.36,6.16,1.8,0.65747
0.2,6.64,1,0.97518
0.08,5.72,0.4,0.64166
0,5.76,NaN,0.55678
0,5.52,NaN,0.79739
0,5.24,NaN,0.68789
0,6.56,NaN,0.90936
0,5.32,NaN,0.68292
0,4.8,NaN,0.66332
0,4.92,NaN,0.7613
0,5.32,NaN,1.0252
0,3.96,NaN,0.77787
0,3.92,NaN,0.82644
0,3.4,NaN,0.64226
0,3.04,NaN,0.77722
0,2.6,NaN,0.72423
0,2.32,NaN,0.62236
0,1.64,NaN,0.51686
0,2.04,NaN,0.67911
0,1.8,NaN,0.69338
0,1.8,NaN,0.58835
0,1.4,NaN,0.65713
0,1.52,NaN,0.80166
0,1.96,NaN,1.2075
0,1.36,NaN,0.78102
0,1.28,NaN,0.85266
0,0.8,NaN,0.59761
0,1.44,NaN,1.0362
0,0.88,NaN,0.58023
0,0.96,NaN,0.67683
0,0.56,NaN,0.44222
0,0.52,NaN,0.54955
0,0.28,NaN,0.36856
0,0.28,NaN,0.42131
0,0.28,NaN,0.42131
0,0.32,NaN,0.54569
0,0.24,NaN,0.41767
0,0.28,NaN,0.45704
0,0.24,NaN,0.58737
0,0.2,NaN,0.57735
0,0.12,NaN,0.31091
0,0.12,NaN,0.31091
0,0.12,NaN,0.6
0,0.16,NaN,0.44159
0,0.12,NaN,0.31091
0,0.08,NaN,0.4
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
0,0,NaN,NaN
