Art,cap,ven,std,
394.68,NaN,482.49,53.272,NaN,0.00025835
405.3,NaN,387.75,34.736,NaN,0.00014773
390.09,108.04,405.65,26.333,0,0.00016612
361.39,488.28,366,15.141,0.00014996,0.00010915
371.78,428.87,382.24,14.042,0.00013607,0.00013905
362.49,484.68,376.42,8.3895,0.00020498,0.0001199
373.68,404.41,398.52,6.3236,0.00011069,0.00013563
374.9,427.62,401.4,7.0577,5.8036e-05,0.00011454
374.57,424.15,372.92,3.9004,5.2661e-05,8.9091e-05
370.69,435.04,383.61,6.8533,3.9957e-05,0.00010236
379.04,425.37,386.92,8.6337,5.0709e-05,0.00011003
375.52,431.01,374.38,7.7531,4.4313e-05,0.00010241
361.07,438.98,376.64,11.413,5.5699e-05,7.3097e-05
379.45,429.38,376.29,14.046,6.5906e-05,6.8999e-05
342.68,407.89,386.86,20.388,8.7219e-05,0.00012039
349.06,485.87,376.94,29.242,0.00013859,8.7263e-05
398.58,399.75,368.24,56.285,0.00012633,6.2832e-05
385.74,313.34,386.15,44.722,0.00010746,7.4793e-05
391.56,356.49,381.43,3.845,8.722e-05,7.7139e-05
336.87,491.21,380.94,79.875,6.1405e-05,8.8557e-05
253.69,406,358.62,0,8.4358e-06,5.3942e-05
318.33,497.54,385.67,0,0,6.978e-05
677.86,436.6,395.41,0,0,6.8935e-05
365.04,255.43,357.38,0,0,7.9655e-05
NaN,443.59,389.46,NaN,0,6.3263e-05
NaN,NaN,393.47,NaN,NaN,7.3789e-05
NaN,NaN,359.67,NaN,NaN,0.00010009
NaN,NaN,366.78,NaN,NaN,8.9532e-05
NaN,NaN,352.31,NaN,NaN,8.2456e-05
NaN,NaN,377.28,NaN,NaN,8.2522e-05
NaN,NaN,366.58,NaN,NaN,0.00010558
NaN,NaN,339.71,NaN,NaN,8.4614e-05
NaN,NaN,344.17,NaN,NaN,9.1532e-05
NaN,NaN,399,NaN,NaN,8.7399e-05
NaN,NaN,407.18,NaN,NaN,0.0001509
NaN,NaN,412.94,NaN,NaN,0.0001184
NaN,NaN,393.91,NaN,NaN,0.00011748
NaN,NaN,413.51,NaN,NaN,0.00017365
NaN,NaN,361.91,NaN,NaN,0.00010492
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
0,0,NaN,NaN,0,NaN
