EGL_Thickness,Res_RTBRSB,std
1e-08,1.002,0.000138
6e-08,1.0122,0.0008408
1.1e-07,1.0226,0.0015664
1.6e-07,1.0333,0.0023167
2.1e-07,1.0442,0.0030939
2.6e-07,1.0553,0.0039
3.1e-07,1.0668,0.0047372
3.6e-07,1.0785,0.0056078
4.1e-07,1.0906,0.0065138
4.6e-07,1.103,0.0074574
5.1e-07,1.1158,0.0084409
5.6e-07,1.129,0.0094665
6.1e-07,1.1426,0.010536
6.6e-07,1.1566,0.011652
7.1e-07,1.1711,0.012817
7.6e-07,1.186,0.014032
8.1e-07,1.2014,0.0153
8.6e-07,1.2173,0.016624
9.1e-07,1.2336,0.018005
9.6e-07,1.2505,0.019445
1.01e-06,1.2679,0.020948
