X_Ven_Gen,Y_Num_Cap_Ven,X_Art_Gen,Y_Num_Cap_Art,Length_Freq,Art_Len_Freq,Ven_Len_Freq,Cap_Len_Freq,Diameter_Freq,Art_Dia_Freq,Ven_Dia_Freq,Cap_Dia_Freq,Gen_Art,Art_Gen_Dia,Art_Gen_Len,Gen_Ven,Ven_Gen_Dia,Ven_Gen_Len,Gen_Cap,Cap_Gen_Dia,Cap_Gen_Len,X_Ven_Gen_old,Y_Num_Cap_Ven_old
1,0.0,1,0.0,100,0.215,0.16,0.085,2.5,0,0.003,0,1,32.11,406.468,1,49.378,397.015,3,7.027,546.766,1,-0.016
2,0.0,2,0.4,200,0.175,0.205,0.155,5,0.002,0,0.025,2,23.57,475.124,2,34.121,267.91,4,7.504,544.03,2,-0.048
3,0.8,3,0.4,300,0.155,0.17,0.195,7.5,0.03,0.007,0.23,3,19.465,427.114,3,33.748,491.045,5,6.986,390.547,3,0.419
4,1.0,4,1.0,400,0.135,0.16,0.185,10,0.2,0.1,0.39,4,17.185,372.886,4,31.323,381.343,6,8.748,472.637,4,0.661
5,4.2,5,1.4,500,0.1,0.085,0.11,12.5,0.22,0.14,0.2,5,14.988,306.716,5,25.705,351.493,7,9.577,453.98,5,4.226
6,3.4,6,7.3,600,0.07,0.08,0.1,15,0.21,0.155,0.11,6,14.78,331.095,6,25.871,381.343,8,8.893,399.751,6,3.333
7,3.4,7,10.7,700,0.06,0.05,0.055,17.5,0.105,0.11,0.025,7,14.034,387.811,7,23.01,373.383,9,9.142,436.816,7,3.398
8,3.8,8,9.7,800,0.04,0.04,0.06,20,0.095,0.07,0.015,8,13.329,388.06,8,22.74,327.861,10,8.862,427.861,8,3.828
9,6.1,9,13.4,900,0.03,0.03,0.04,22.5,0.045,0.065,0.005,9,13.288,385.448,9,21.58,338.06,11,8.862,441.542,9,6.118
10,8.4,10,15.1,1000,0.02,0.02,0.015,25,0.035,0.05,0,10,13.08,345.522,10,23.176,353.483,12,8.831,459.701,10,8.366
11,6.9,11,19.1,,,,,27.5,0.007,0.065,0,11,13.412,383.209,11,22.533,285.075,13,8.738,434.328,11,6.882
12,11.2,12,13.1,,,,,30,0.025,0.05,0,12,12.832,291.045,12,21.414,379.104,14,9.608,442.786,12,11.247
13,16.1,13,12.2,,,,,32.5,0.005,0.05,0,13,12.293,382.09,13,23.259,361.194,15,8.613,403.234,13,15.269
14,11.5,14,14.5,,,,,35,0.007,0.03,0,14,12.127,323.134,14,20.315,339.552,16,8.862,369.652,14,11.333
15,11.5,15,13.4,,,,,37.5,0.002,0.035,0,15,12.044,296.642,15,21.517,283.085,17,8.955,404.229,15,11.333
16,7.8,16,11.5,,,,,40,0.007,0.02,0,16,11.381,275.124,16,21.476,309.453,18,8.706,385.821,16,7.591
17,7.1,17,10.9,,,,,42.5,0.002,0.02,0,17,12.002,337.313,17,19.507,316.418,19,8.489,346.517,17,6.968
18,6.8,18,7.3,,,,,45,0.002,0.015,0,18,12.293,299.502,18,21.02,306.965,20,8.986,353.731,18,6.71
19,7.5,19,8.5,,,,,47.5,0.001,0.01,0,19,10.676,218.408,19,21.02,238.308,21,8.862,435.572,19,7.484
20,5.6,20,3.9,,,,,50,0,0.005,0,20,11.816,232.836,20,20.087,280.348,22,9.049,345.522,20,5.634
21,6.2,21,4.0,,,,,,,,,21,10.282,296.02,21,19.362,299.254,,,,21,6.215
22,5.4,22,0.9,,,,,,,,,,,,22,19.983,307.463,,,,22,5.355
23,7.2,23,0.4,,,,,,,,,,,,23,16.148,305.97,,,,23,7.075
24,3.7,24,0.4,,,,,,,,,,,,24,16.667,330.099,,,,24,3.72
25,4.3,25,0.6,,,,,,,,,,,,25,15.299,299.751,,,,25,4.258
26,2.4,26,0.0,,,,,,,,,,,,26,16.128,331.095,,,,26,2.43
27,3.1,,,,,,,,,,,,,,27,15.713,247.264,,,,27,3.14
28,3.0,,,,,,,,,,,,,,28,14.905,233.582,,,,28,2.989
29,4.9,,,,,,,,,,,,,,29,17.143,310.199,,,,29,4.882
30,2.1,,,,,,,,,,,,,,,,,,,,30,2.108
31,3.3,,,,,,,,,,,,,,,,,,,,31,3.312
32,7.0,,,,,,,,,,,,,,,,,,,,32,6.194
33,1.2,,,,,,,,,,,,,,,,,,,,33,1.183
34,0.6,,,,,,,,,,,,,,,,,,,,34,0.581
35,1.5,,,,,,,,,,,,,,,,,,,,35,1.484
36,1.0,,,,,,,,,,,,,,,,,,,,36,0.989
37,0.0,,,,,,,,,,,,,,,,,,,,37,-0.054
